"method","path"
"GET","/health"
"POST","/auth/login"
"POST","/auth/logout"
"GET","/auth/me"
"GET","/audit-logs"
"GET","/companies"
"POST","/companies"
"GET","/companies/{id}"
"PATCH","/companies/{id}"
"GET","/legal-entities"
"POST","/legal-entities"
"GET","/business-sites"
"POST","/business-sites"
"GET","/departments"
"POST","/departments"
"GET","/departments/tree"
"PATCH","/departments/{id}"
"DELETE","/departments/{id}"
"GET","/employees"
"POST","/employees"
"GET","/employees/{id}"
"PATCH","/employees/{id}"
"DELETE","/employees/{id}"
"GET","/positions"
"POST","/positions"
"GET","/job-titles"
"POST","/job-titles"
"POST","/files/upload"
"GET","/files"
"GET","/files/{id}"
"GET","/files/{id}/download"
"GET","/document-templates"
"GET","/documents"
"POST","/documents"
"GET","/documents/{id}"
"POST","/documents/{id}/versions"
"POST","/documents/{id}/render-pdf"
"POST","/approvals/lines"
"GET","/approvals/lines/{id}"
"POST","/approvals/lines/{id}/submit"
"POST","/approvals/lines/{id}/approve"
"POST","/approvals/lines/{id}/reject"
"POST","/approvals/lines/{id}/cancel"
"POST","/approvals/lines/{id}/resubmit"
"GET","/approvals/inbox"
"GET","/signatures/mine"
"POST","/signatures"
"GET","/attendance/raw-events"
"GET","/attendance/ledgers"
"GET","/attendance/shift-policies"
"POST","/attendance/shift-policies"
"PATCH","/attendance/shift-policies/{id}"
"GET","/leave/policies"
"GET","/leave/requests"
"POST","/leave/requests"
"GET","/attendance-corrections"
"POST","/attendance-corrections"
"GET","/expenses/claims"
"POST","/expenses/claims"
"GET","/expenses/claims/{id}"
"GET","/finance/accounts"
"GET","/finance/vendors"
"POST","/finance/vendors"
"GET","/finance/cost-centers"
"POST","/finance/cost-centers"
"GET","/finance/projects"
"POST","/finance/projects"
"GET","/finance/journal-entries"
"POST","/finance/journal-entries"
"GET","/finance/journal-entries/{id}"
"GET","/import-export/import-jobs"
"GET","/import-export/import-jobs/{id}"
"POST","/import-export/import-jobs/vendors"
"GET","/import-export/export-jobs"
"GET","/import-export/export-jobs/{id}"
"POST","/import-export/export-jobs/expense-claims"
"POST","/integrations/attendance/raw"
"POST","/integrations/attendance/raw/batch"
"POST","/integrations/attendance/raw/csv"
